"cust","date"
1001,2015-10-26
1001,2016-12-03
1001,2018-01-12
1001,2018-03-09
1001,2018-06-24
1001,2018-07-27
1001,2018-09-07
1001,2018-11-16
1001,2019-01-11
1001,2019-03-15
1001,2019-03-24
1002,2015-12-06
1002,2016-08-04
1002,2016-12-04
1003,2015-09-29
1004,2015-02-16
1004,2016-02-25
1005,2015-11-07
1005,2016-06-04
1005,2016-11-05
1005,2017-07-26
1006,2015-10-17
1007,2015-04-05
1008,2015-04-22
1008,2016-03-30
1009,2015-09-09
1009,2017-11-29
1010,2015-01-19
1011,2015-02-23
1012,2015-04-28
1012,2015-08-13
1012,2016-10-28
1012,2017-02-13
1012,2018-01-29
1012,2018-08-13
1013,2015-01-26
1014,2015-01-26
1015,2015-01-26
1016,2015-01-26
1017,2015-01-26
1018,2015-01-22
1018,2019-01-05
1019,2015-04-28
1019,2016-08-05
1020,2015-01-26
1021,2015-01-26
1022,2015-01-26
1023,2015-01-26
1024,2015-01-26
1024,2015-07-17
1024,2016-07-21
1024,2017-02-13
1024,2017-07-27
1024,2018-08-09
1024,2019-01-21
1025,2015-01-26
1026,2015-01-26
1027,2015-01-26
1028,2015-03-06
1028,2016-09-17
1028,2018-11-02
1029,2015-01-14
1029,2017-02-05
1029,2017-07-02
1030,2015-02-28
1030,2017-10-26
1031,2015-02-28
1031,2017-01-19
1031,2017-07-20
1031,2017-11-16
1032,2015-02-28
1033,2015-02-28
1034,2015-02-28
1034,2017-01-19
1034,2017-07-20
1034,2017-11-16
1035,2015-02-28
1035,2016-12-31
1036,2015-02-28
1036,2015-10-06
1036,2016-10-05
1036,2017-10-04
1037,2015-02-28
1037,2016-05-04
1038,2015-02-28
1039,2015-03-01
1039,2016-10-23
1040,2015-03-03
1040,2015-06-08
1040,2015-09-15
1040,2016-09-04
1040,2016-10-28
1041,2015-03-03
1042,2015-03-03
1043,2015-03-03
1043,2015-12-07
1044,2015-03-03
1045,2015-03-04
1045,2016-03-01
1045,2017-03-07
1046,2015-03-04
1047,2015-03-04
